epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1960.03,0.65235,0.39405,0.97467,0.96013,0.94075,0.97302,0.79459,0.69338,0.36452,0.96376,0.000540037,0.000540037,0.000540037
43,2006.49,0.66479,0.39554,0.97803,0.98026,0.93591,0.96491,0.79297,0.68845,0.37459,0.95454,0.000531038,0.000531038,0.000531038
44,2052.67,0.64919,0.38616,0.96947,0.97685,0.94642,0.97168,0.80507,0.68316,0.3689,0.96207,0.000522039,0.000522039,0.000522039
45,2099.08,0.6421,0.38545,0.95719,0.94044,0.95056,0.96463,0.79295,0.66667,0.35988,0.9453,0.00051304,0.00051304,0.00051304
46,2145.34,0.63675,0.37978,0.95636,0.95918,0.95251,0.97009,0.79052,0.67051,0.352,0.9491,0.00050404,0.00050404,0.00050404
47,2191.49,0.63372,0.38335,0.95981,0.9291,0.96452,0.97267,0.80515,0.66392,0.35434,0.95494,0.000495041,0.000495041,0.000495041
48,2237.86,0.62804,0.37524,0.95456,0.97124,0.94591,0.97318,0.79466,0.67645,0.35009,0.96498,0.000486042,0.000486042,0.000486042
49,2284.07,0.62718,0.37935,0.95936,0.96381,0.9535,0.96704,0.79377,0.67319,0.34254,0.95315,0.000477043,0.000477043,0.000477043
50,2330.43,0.62716,0.37221,0.95269,0.96589,0.94663,0.97119,0.803,0.66034,0.34375,0.94472,0.000468044,0.000468044,0.000468044
51,2376.72,0.6151,0.37018,0.94643,0.97974,0.95272,0.96779,0.80257,0.66661,0.34867,0.95067,0.000459045,0.000459045,0.000459045
52,2422.94,0.61742,0.36162,0.94494,0.96749,0.94847,0.97018,0.79668,0.67413,0.34236,0.96052,0.000450046,0.000450046,0.000450046
53,2469.24,0.62154,0.36914,0.9542,0.95085,0.94543,0.97214,0.80113,0.6704,0.33978,0.96213,0.000441047,0.000441047,0.000441047
54,2515.3,0.60983,0.36546,0.94348,0.9802,0.93768,0.97195,0.79649,0.66822,0.33775,0.94829,0.000432048,0.000432048,0.000432048
55,2561.42,0.61933,0.36593,0.95408,0.97157,0.94874,0.97245,0.80565,0.66419,0.34158,0.94975,0.000423049,0.000423049,0.000423049
56,2607.39,0.60614,0.36043,0.94516,0.95353,0.94901,0.97237,0.79873,0.6582,0.33983,0.94415,0.000414049,0.000414049,0.000414049
